Time[s], SCL, SDA
2.47911625, 1, 0
2.479118625, 1, 1
2.47914175, 0, 1
2.479223625, 1, 1
2.47925, 0, 1
2.479332, 1, 1
2.479333625, 1, 0
2.47935925, 0, 0
2.479468375, 1, 0
2.47947175, 1, 1
2.479493875, 0, 1
2.479575875, 1, 1
2.479577625, 1, 0
2.479603125, 0, 0
2.479712125, 1, 0
2.4797125, 1, 1
2.47973775, 0, 1
2.47981975, 1, 1
2.479846125, 0, 1
2.479928, 1, 1
2.4799545, 0, 1
2.4800365, 1, 1
2.480062875, 0, 1
2.480144875, 1, 1
2.48017125, 0, 1
2.48025325, 1, 1
2.480279625, 0, 1
2.480361625, 1, 1
2.480388, 0, 1
2.48047, 1, 1
2.480496375, 0, 1
2.48057825, 1, 1
2.480604625, 0, 1
2.480686625, 1, 1
2.480713, 0, 1
2.480795, 1, 1
2.480821375, 0, 1
2.480903375, 1, 1
2.48092975, 0, 1
2.48101175, 1, 1
2.481038125, 0, 1
2.481525, 0, 0
2.48502375, 1, 0
2.485050125, 0, 0
2.48515925, 1, 0
2.485161, 1, 1
2.48518475, 0, 1
2.48526675, 1, 1
2.48527, 1, 0
2.485293875, 0, 0
2.485403, 1, 0
2.485404875, 1, 1
2.4854285, 0, 1
2.4855105, 1, 1
2.485536875, 0, 1
2.485618875, 1, 1
2.485619875, 1, 0
2.485646, 0, 0
2.485755125, 1, 0
2.485758, 1, 1
2.485780625, 0, 1
2.485862625, 1, 1
2.485863875, 1, 0
2.485889875, 0, 0
2.485999, 1, 0
2.48600175, 1, 1
2.4860245, 0, 1
2.4861065, 1, 1
2.486132875, 0, 1
2.486215, 1, 1
2.486241375, 0, 1
2.486323375, 1, 1
2.48634975, 0, 1
2.48643175, 1, 1
2.48645825, 0, 1
2.48654025, 1, 1
2.486566625, 0, 1
2.486648625, 1, 1
2.486675, 0, 1
2.486757, 1, 1
2.486783375, 0, 1
2.4868655, 1, 1
2.486891875, 0, 1
2.486973875, 1, 1
2.48700025, 0, 1
2.487082375, 1, 1
2.48710875, 0, 1
2.48719075, 1, 1
2.487217125, 0, 1
2.48729925, 1, 1
2.487325625, 0, 1
2.48768925, 0, 0
2.491312375, 1, 0
2.49133875, 0, 0
2.491447875, 1, 0
2.491449875, 1, 1
2.49147325, 0, 1
2.49155525, 1, 1
2.49155575, 1, 0
2.4915825, 0, 0
2.491691625, 1, 0
2.49169375, 1, 1
2.491717, 0, 1
2.491799, 1, 1
2.491825375, 0, 1
2.491907375, 1, 1
2.49190875, 1, 0
2.491934625, 0, 0
2.492043625, 1, 0
2.492046875, 1, 1
2.49206925, 0, 1
2.492151125, 1, 1
2.49215275, 1, 0
2.492178375, 0, 0
2.4922875, 1, 0
2.492290875, 1, 1
2.492313, 0, 1
2.492395, 1, 1
2.492421375, 0, 1
2.49250325, 1, 1
2.492529625, 0, 1
2.492611625, 1, 1
2.492638, 0, 1
2.49272, 1, 1
2.492746375, 0, 1
2.492828375, 1, 1
2.49285475, 0, 1
2.49293675, 1, 1
2.492963125, 0, 1
2.493045125, 1, 1
2.4930715, 0, 1
2.4931535, 1, 1
2.493179875, 0, 1
2.493261875, 1, 1
2.49328825, 0, 1
2.493370125, 1, 1
2.4933965, 0, 1
2.4934785, 1, 1
2.493504875, 0, 1
2.493586875, 1, 1
2.49361325, 0, 1
2.493852875, 0, 0
2.497598375, 1, 0
2.497601375, 1, 1
2.497624, 0, 1
2.497706, 1, 1
2.49770725, 1, 0
2.497733125, 0, 0
2.49784225, 1, 0
2.497868625, 0, 0
2.49797775, 1, 0
2.497980125, 1, 1
2.49800325, 0, 1
2.49808525, 1, 1
2.498111625, 0, 1
2.498193625, 1, 1
2.498195125, 1, 0
2.498220875, 0, 0
2.49833, 1, 0
2.49833325, 1, 1
2.4983555, 0, 1
2.4984375, 1, 1
2.498439125, 1, 0
2.49846475, 0, 0
2.498573875, 1, 0
2.498577125, 1, 1
2.498599375, 0, 1
2.498681375, 1, 1
2.49870775, 0, 1
2.49878975, 1, 1
2.498816125, 0, 1
2.498898125, 1, 1
2.4989245, 0, 1
2.4990065, 1, 1
2.499032875, 0, 1
2.499114875, 1, 1
2.49914125, 0, 1
2.49922325, 1, 1
2.499249625, 0, 1
2.499331625, 1, 1
2.499358, 0, 1
2.49944, 1, 1
2.499466375, 0, 1
2.499548375, 1, 1
2.49957475, 0, 1
2.49965675, 1, 1
2.499683125, 0, 1
2.499765125, 1, 1
2.4997915, 0, 1
2.4998735, 1, 1
2.499899875, 0, 1
2.50388525, 1, 1
2.503886625, 1, 0
2.5039125, 0, 0
2.504021625, 1, 0
2.50402475, 1, 1
2.50404725, 0, 1
2.50412925, 1, 1
2.5041305, 1, 0
2.5041565, 0, 0
2.504265625, 1, 0
2.5042685, 1, 1
2.504291125, 0, 1
2.50437325, 1, 1
2.504399625, 0, 1
2.504481625, 1, 1
2.504483625, 1, 0
2.504508875, 0, 0
2.504618, 1, 0
2.50461825, 1, 1
2.504643625, 0, 1
2.504725625, 1, 1
2.5047275, 1, 0
2.504752875, 0, 0
2.504862, 1, 0
2.5048655, 1, 1
2.5048875, 0, 1
2.504969625, 1, 1
2.504996, 0, 1
2.505078, 1, 1
2.505104375, 0, 1
2.505186375, 1, 1
2.50521275, 0, 1
2.505294875, 1, 1
2.50532125, 0, 1
2.50540325, 1, 1
2.505429625, 0, 1
2.50551175, 1, 1
2.505538125, 0, 1
2.505620125, 1, 1
2.5056465, 0, 1
2.5057285, 1, 1
2.505754875, 0, 1
2.505836875, 1, 1
2.50586325, 0, 1
2.505945375, 1, 1
2.50597175, 0, 1
2.50605375, 1, 1
2.506080125, 0, 1
2.506162125, 1, 1
2.5061885, 0, 1
2.50659075, 0, 0
2.510173875, 1, 0
2.51020025, 0, 0
2.51030925, 1, 0
2.510311375, 1, 1
2.510334625, 0, 1
2.510416625, 1, 1
2.510417375, 1, 0
2.510443875, 0, 0
2.510552875, 1, 0
2.510555375, 1, 1
2.510578375, 0, 1
2.51066025, 1, 1
2.510686625, 0, 1
2.510768625, 1, 1
2.510770625, 1, 0
2.510795875, 0, 0
2.510904875, 1, 0
